s0_level,global_index,value,degree,minimal_polynomial
3,38,1.911125066,10, 1 - 2*t^2 - 2*t^3 - t^4 - t^5 - t^6 - 2*t^7 - 2*t^8 + t^10
3,41,1.926788801,8, 1 - 2*t^2 - 2*t^3 - t^4 - 2*t^5 - 2*t^6 + t^8
3,43,1.949987371,10, 1 - t - 2*t^2 - t^3 + t^4 + 3*t^5 + t^6 - t^7 - 2*t^8 - t^9 + t^10
3,44,1.955301805,8, 1 - 2*t - t^3 + 3*t^4 - t^5 - 2*t^7 + t^8
3,47,1.987793167,6, 1 - 2*t^2 - 3*t^3 - 2*t^4 + t^6
3,52,2.022026443,8, 1 - 2*t - 2*t^7 + t^8
3,54,2.049527051,8, 1 - t - t^2 - t^3 - 2*t^4 - t^5 - t^6 - t^7 + t^8
3,55,2.053536724,10, 1 - 2*t - t^2 + 2*t^3 - t^5 + 2*t^7 - t^8 - 2*t^9 + t^10
3,56,2.056319304,10, 1 - 2*t - t^3 + t^4 + t^5 + t^6 - t^7 - 2*t^9 + t^10
3,57,2.060178449,8, 1 - 3*t + 2*t^2 + t^3 - 3*t^4 + t^5 + 2*t^6 - 3*t^7 + t^8
3,58,2.069725383,8, 1 - 2*t + t^3 - 3*t^4 + t^5 - 2*t^7 + t^8
3,59,2.081018997,4, 1 - t - 2*t^2 - t^3 + t^4
3,60,2.104293419,8, 1 - t - t^2 - t^3 - 3*t^4 - t^5 - t^6 - t^7 + t^8
3,61,2.118541371,8, 1 - 2*t^2 - 3*t^3 - 3*t^4 - 3*t^5 - 2*t^6 + t^8
3,62,2.12149713,8, 1 - 2*t - t^4 - 2*t^7 + t^8
3,63,2.124791972,10, 1 - t - 3*t^2 + 2*t^4 + t^5 + 2*t^6 - 3*t^8 - t^9 + t^10
3,64,2.12991946,10, 1 - 2*t - t^4 - t^6 - 2*t^9 + t^10
3,65,2.134664471,8, 1 - t - t^2 - 2*t^3 - t^4 - 2*t^5 - t^6 - t^7 + t^8
3,66,2.137090551,8, 1 - 2*t - t^2 + t^3 + t^4 + t^5 - t^6 - 2*t^7 + t^8
3,67,2.145106798,8, 1 - t - 2*t^2 - t^3 + t^4 - t^5 - 2*t^6 - t^7 + t^8
3,68,2.148496278,10, 1 - 2*t - 2*t^2 + 4*t^3 + t^4 - 5*t^5 + t^6 + 4*t^7 - 2*t^8 - 2*t^9 + t^10
3,69,2.153721376,4, 1 - 3*t + 3*t^2 - 3*t^3 + t^4
3,70,2.160211797,8, 1 - t - 3*t^2 + 3*t^4 - 3*t^6 - t^7 + t^8
3,71,2.167823703,10, 1 - t - 2*t^2 - 2*t^3 + t^4 + 2*t^5 + t^6 - 2*t^7 - 2*t^8 - t^9 + t^10
3,72,2.173672521,8, 1 - 2*t - t^3 + t^4 - t^5 - 2*t^7 + t^8
3,73,2.178242564,10, 1 - t - 2*t^2 - t^4 - 3*t^5 - t^6 - 2*t^8 - t^9 + t^10
3,74,2.183128165,8, 1 - t - t^2 - 2*t^3 - 2*t^4 - 2*t^5 - t^6 - t^7 + t^8
3,75,2.195646736,6, 1 - t - t^2 - 3*t^3 - t^4 - t^5 + t^6
3,76,2.201130351,6, 1 - 2*t - t^2 + 2*t^3 - t^4 - 2*t^5 + t^6
3,77,2.203457949,10, 1 - 2*t - t^2 + t^3 + t^5 + t^7 - t^8 - 2*t^9 + t^10
3,78,2.206465525,8, 1 - 2*t - t^2 + 3*t^4 - t^6 - 2*t^7 + t^8
3,79,2.21982288,10, 1 - 3*t + 2*t^2 - 3*t^4 + 5*t^5 - 3*t^6 + 2*t^8 - 3*t^9 + t^10
3,80,2.225867914,6, 1 - 3*t + 2*t^2 - t^3 + 2*t^4 - 3*t^5 + t^6
3,81,2.227470731,8, 1 - t - t^2 - 2*t^3 - 3*t^4 - 2*t^5 - t^6 - t^7 + t^8
3,82,2.228790565,10, 1 - t - 3*t^2 - t^3 + 2*t^4 + 3*t^5 + 2*t^6 - t^7 - 3*t^8 - t^9 + t^10
3,83,2.237494046,8, 1 - 2*t - t^2 + t^3 + t^5 - t^6 - 2*t^7 + t^8
3,84,2.238895035,8, 1 - 2*t^2 - 4*t^3 - 4*t^4 - 4*t^5 - 2*t^6 + t^8
3,85,2.242750799,8, 1 - 3*t + 2*t^2 - t^3 + t^4 - t^5 + 2*t^6 - 3*t^7 + t^8
3,86,2.247814455,10, 1 - t - 2*t^2 - t^3 - t^4 - t^5 - t^6 - t^7 - 2*t^8 - t^9 + t^10
3,87,2.248854339,8, 1 - 2*t - t^3 - t^5 - 2*t^7 + t^8
3,88,2.251190565,8, 1 - t - 2*t^2 - t^3 - t^4 - t^5 - 2*t^6 - t^7 + t^8
3,89,2.256455147,6, 1 - 2*t - t^3 - 2*t^5 + t^6
3,90,2.270187645,10, 1 - 3*t + t^2 + 2*t^3 - 3*t^5 + 2*t^7 + t^8 - 3*t^9 + t^10
3,91,2.275010964,10, 1 - 2*t - 2*t^3 + 2*t^4 - 2*t^5 + 2*t^6 - 2*t^7 - 2*t^9 + t^10
3,92,2.27670593,8, 1 - 3*t + 2*t^2 - 2*t^4 + 2*t^6 - 3*t^7 + t^8
3,93,2.27965173,10, 1 - 2*t - t^2 + 2*t^4 - t^5 + 2*t^6 - t^8 - 2*t^9 + t^10
3,94,2.284963268,10, 1 - t - t^2 - 2*t^3 - 3*t^4 - 4*t^5 - 3*t^6 - 2*t^7 - t^8 - t^9 + t^10
3,95,2.296630263,4, 1 - 2*t - 2*t^3 + t^4
3,96,2.299492578,10, 1 - 2*t - 2*t^2 + 3*t^3 + t^4 - 3*t^5 + t^6 + 3*t^7 - 2*t^8 - 2*t^9 + t^10
3,97,2.308117272,10, 1 - 2*t^2 - 4*t^3 - 5*t^4 - 5*t^5 - 5*t^6 - 4*t^7 - 2*t^8 + t^10
3,98,2.312929018,8, 1 - 2*t - t^3 - t^4 - t^5 - 2*t^7 + t^8
3,99,2.313440847,10, 1 - 2*t - t^2 + t^3 - 2*t^5 + t^7 - t^8 - 2*t^9 + t^10
3,100,2.316226983,8, 1 - 2*t - t^2 + t^3 - t^4 + t^5 - t^6 - 2*t^7 + t^8
3,101,2.318774012,10, 1 - 3*t + 2*t^2 - t^3 - t^4 + 3*t^5 - t^6 - t^7 + 2*t^8 - 3*t^9 + t^10
3,102,2.322898965,10, 1 - t - 3*t^2 - 2*t^3 + 2*t^4 + 5*t^5 + 2*t^6 - 2*t^7 - 3*t^8 - t^9 + t^10
3,103,2.32682877,8, 1 - 3*t + 2*t^2 - 2*t^3 + 3*t^4 - 2*t^5 + 2*t^6 - 3*t^7 + t^8
3,104,2.328567727,8, 1 - t - 2*t^2 - 2*t^3 - 2*t^5 - 2*t^6 - t^7 + t^8
3,105,2.331843334,10, 1 - 2*t - t^2 + 3*t^5 - t^8 - 2*t^9 + t^10
3,106,2.334078015,8, 1 - t - t^2 - 3*t^3 - 3*t^4 - 3*t^5 - t^6 - t^7 + t^8
3,107,2.33591764,8, 1 - 4*t + 6*t^2 - 7*t^3 + 7*t^4 - 7*t^5 + 6*t^6 - 4*t^7 + t^8
