s0_level,global_index,value,degree,minimal_polynomial
2,11,1.45798748,8, 1 - t^2 - t^3 - t^5 - t^6 + t^8
2,12,1.50613568,6, 1 - t - t^3 - t^5 + t^6
2,13,1.523060249,8, 1 - t - t^2 + t^4 - t^6 - t^7 + t^8
2,14,1.532925491,10, 1 - t - t^2 + t^5 - t^8 - t^9 + t^10
2,15,1.547196966,8, 1 - 2*t + 2*t^2 - 3*t^3 + 3*t^4 - 3*t^5 + 2*t^6 - 2*t^7 + t^8
2,16,1.556030191,6, 1 - t - t^2 + t^3 - t^4 - t^5 + t^6
2,17,1.582347184,6, 1 - t^2 - 2*t^3 - t^4 + t^6
2,18,1.605449829,8, 1 - 2*t + t^2 - t^4 + t^6 - 2*t^7 + t^8
2,19,1.63557313,6, 1 - 2*t + 2*t^2 - 3*t^3 + 2*t^4 - 2*t^5 + t^6
2,20,1.661047762,8, 1 - 2*t + t^2 - t^3 + t^4 - t^5 + t^6 - 2*t^7 + t^8
2,21,1.684910153,8, 1 - t - t^2 - t^6 - t^7 + t^8
2,22,1.690175081,10, 1 - t - 2*t^2 + t^3 + t^4 - t^5 + t^6 + t^7 - 2*t^8 - t^9 + t^10
2,23,1.693507383,8, 1 - t - t^3 - t^4 - t^5 - t^7 + t^8
2,24,1.722083806,4, 1 - t - t^2 - t^3 + t^4
2,25,1.753097478,10, 1 - t^2 - t^3 - 2*t^4 - 3*t^5 - 2*t^6 - t^7 - t^8 + t^10
2,26,1.781643599,6, 1 - t - t^2 - t^4 - t^5 + t^6
2,27,1.796072323,8, 1 - t - t^2 - t^4 - t^6 - t^7 + t^8
2,28,1.800171739,8, 1 - 3*t + 4*t^2 - 5*t^3 + 5*t^4 - 5*t^5 + 4*t^6 - 3*t^7 + t^8
2,29,1.805017258,10, 1 - 2*t + t^3 - t^4 + t^5 - t^6 + t^7 - 2*t^9 + t^10
2,30,1.809789333,8, 1 - t - 2*t^3 - 2*t^5 - t^7 + t^8
2,31,1.811614963,8, 1 - 2*t + t^3 - t^4 + t^5 - 2*t^7 + t^8
2,32,1.831075825,6, 1 - 2*t + t^3 - 2*t^5 + t^6
2,33,1.834884773,8, 1 - t^2 - 2*t^3 - 3*t^4 - 2*t^5 - t^6 + t^8
2,34,1.864060008,8, 1 - t - 2*t^2 + 2*t^4 - 2*t^6 - t^7 + t^8
2,35,1.875739482,10, 1 - 2*t - t^2 + 3*t^3 - 3*t^5 + 3*t^7 - t^8 - 2*t^9 + t^10
2,36,1.883203506,4, 1 - 2*t + t^2 - 2*t^3 + t^4
2,37,1.899105403,10, 1 - 2*t + t^4 - t^5 + t^6 - 2*t^9 + t^10
2,39,1.916498264,8, 1 - t - t^2 - t^3 - t^5 - t^6 - t^7 + t^8
2,40,1.920627832,8, 1 - 3*t + 3*t^2 - 2*t^3 + t^4 - 2*t^5 + 3*t^6 - 3*t^7 + t^8
2,42,1.946856268,6, 1 - t - t^2 - t^3 - t^4 - t^5 + t^6
2,45,1.972091408,10, 1 - 2*t - t^4 + 3*t^5 - t^6 - 2*t^9 + t^10
2,46,1.974818708,6, 1 - 2*t + t^2 - 2*t^3 + t^4 - 2*t^5 + t^6
2,48,1.994004199,8, 1 - 2*t + t^2 - 2*t^3 + t^4 - 2*t^5 + t^6 - 2*t^7 + t^8
2,49,1.99852467,10, 1 - 2*t + t^2 - 2*t^3 + t^4 - 2*t^5 + t^6 - 2*t^7 + t^8 - 2*t^9 + t^10
2,50,2.011287151,8, 1 - 3*t + 3*t^2 - 3*t^3 + 3*t^4 - 3*t^5 + 3*t^6 - 3*t^7 + t^8
2,51,2.016009055,10, 1 - 3*t + 2*t^2 + t^3 - 3*t^4 + 3*t^5 - 3*t^6 + t^7 + 2*t^8 - 3*t^9 + t^10
2,53,2.042490534,6, 1 - 3*t + 3*t^2 - 3*t^3 + 3*t^4 - 3*t^5 + t^6
