s0_level,index,value,degree,minimal_polynomial
1,1,1.17628,10,1+t-t^3-t^4-t^5-t^6-t^7+t^9+t^10
1,2,1.21639,10,1-t^4-t^5-t^6+t^10
1,3,1.26123,10,1-t^2-t^5-t^8+t^10
1,4,1.28064,8,1-t^3-t^4-t^5+t^8
1,5,1.29349,10,1-t^2-t^3+t^5-t^7-t^8+t^10
1,6,1.35098,10,1-t-t^4+t^5-t^6-t^9+t^10
1,7,1.36,8,1-t+t^2-2 t^3+t^4-2 t^5+t^6-t^7+t^8
1,8,1.40127,6,1-t^2-t^3-t^4+t^6
1,9,1.42501,8,1-t-t^3+t^4-t^5-t^7+t^8
1,10,1.431,10,1-t-t^2+t^3-t^5+t^7-t^8-t^9+t^10
2,11,1.45799,8,1-t^2-t^3-t^5-t^6+t^8
2,12,1.50614,6,1-t-t^3-t^5+t^6
2,13,1.52306,8,1-t-t^2+t^4-t^6-t^7+t^8
2,14,1.53293,10,1-t-t^2+t^5-t^8-t^9+t^10
2,15,1.5472,8,1-2 t+2 t^2-3 t^3+3 t^4-3 t^5+2 t^6-2 t^7+t^8
2,16,1.55603,6,1-t-t^2+t^3-t^4-t^5+t^6
2,17,1.58235,6,1-t^2-2 t^3-t^4+t^6
2,18,1.60545,8,1-2 t+t^2-t^4+t^6-2 t^7+t^8
2,19,1.63557,6,1-2 t+2 t^2-3 t^3+2 t^4-2 t^5+t^6
2,20,1.66105,8,1-2 t+t^2-t^3+t^4-t^5+t^6-2 t^7+t^8
2,21,1.68491,8,1-t-t^2-t^6-t^7+t^8
2,22,1.69018,10,1-t-2 t^2+t^3+t^4-t^5+t^6+t^7-2 t^8-t^9+t^10
2,23,1.69351,8,1-t-t^3-t^4-t^5-t^7+t^8
2,24,1.72208,4,1-t-t^2-t^3+t^4
2,25,1.7531,10,1-t^2-t^3-2 t^4-3 t^5-2 t^6-t^7-t^8+t^10
2,26,1.78164,6,1-t-t^2-t^4-t^5+t^6
2,27,1.79607,8,1-t-t^2-t^4-t^6-t^7+t^8
