s0_level,global_index,value,degree,minimal_polynomial
5,501,3.21255,8,1-t-4 t^2-7 t^3-7 t^4-7 t^5-4 t^6-t^7+t^8
5,522,3.2389,8,1-3 t-t^2+t^3-t^4+t^5-t^6-3 t^7+t^8
5,588,3.32988,8,1-2 t-3 t^2-4 t^3-t^4-4 t^5-3 t^6-2 t^7+t^8
5,651,3.39917,10,1-t-4 t^2-9 t^3-12 t^4-14 t^5-12 t^6-9 t^7-4 t^8-t^9+t^10
5,664,3.41491,8,1-3 t-t^2-t^3-t^4-t^5-t^6-3 t^7+t^8
5,672,3.42587,10,1-2 t-4 t^2-3 t^3-3 t^7-4 t^8-2 t^9+t^10
5,709,3.46327,10,1-4 t+3 t^2-6 t^3+8 t^4-5 t^5+8 t^6-6 t^7+3 t^8-4 t^9+t^10
5,760,3.51776,8,1-2 t-4 t^2-4 t^3-t^4-4 t^5-4 t^6-2 t^7+t^8
5,764,3.52195,8,1-4 t+2 t^2-4 t^4+2 t^6-4 t^7+t^8
5,779,3.536,8,1-t-5 t^2-10 t^3-11 t^4-10 t^5-5 t^6-t^7+t^8
5,790,3.54807,10,1-3 t-6 t^3-t^4-7 t^5-t^6-6 t^7-3 t^9+t^10
5,791,3.54936,10,1-t-5 t^2-10 t^3-11 t^4-12 t^5-11 t^6-10 t^7-5 t^8-t^9+t^10
5,801,3.5588,8,1-4 t+2 t^2-3 t^3+6 t^4-3 t^5+2 t^6-4 t^7+t^8
5,822,3.57912,10,1-t-6 t^2-9 t^3-7 t^4-5 t^5-7 t^6-9 t^7-6 t^8-t^9+t^10
5,836,3.59066,8,1-5 t+6 t^2-4 t^3+3 t^4-4 t^5+6 t^6-5 t^7+t^8
5,837,3.59087,10,1-2 t-3 t^2-6 t^3-10 t^4-9 t^5-10 t^6-6 t^7-3 t^8-2 t^9+t^10
5,842,3.59723,10,1-4 t+2 t^2-3 t^3+5 t^4-6 t^5+5 t^6-3 t^7+2 t^8-4 t^9+t^10
5,846,3.59901,8,1-2 t-4 t^2-5 t^3-3 t^4-5 t^5-4 t^6-2 t^7+t^8
5,851,3.60403,10,1-2 t-4 t^2-6 t^3-t^4-t^5-t^6-6 t^7-4 t^8-2 t^9+t^10
5,859,3.61055,10,1-3 t-2 t^2-2 t^3+3 t^4+5 t^5+3 t^6-2 t^7-2 t^8-3 t^9+t^10
5,860,3.61189,10,1-5 t+5 t^2+t^3-4 t^4+3 t^5-4 t^6+t^7+5 t^8-5 t^9+t^10
5,862,3.61293,10,1-4 t+3 t^2-7 t^3+6 t^4-7 t^5+6 t^6-7 t^7+3 t^8-4 t^9+t^10
5,863,3.61344,10,1-2 t-5 t^2-2 t^3-2 t^4-5 t^5-2 t^6-2 t^7-5 t^8-2 t^9+t^10
5,881,3.62678,10,1-5 t+7 t^2-10 t^3+12 t^4-11 t^5+12 t^6-10 t^7+7 t^8-5 t^9+t^10
5,884,3.62828,8,1-3 t-t^2-3 t^3-5 t^4-3 t^5-t^6-3 t^7+t^8
5,885,3.6295,10,1-6 t+12 t^2-16 t^3+17 t^4-17 t^5+17 t^6-16 t^7+12 t^8-6 t^9+t^10
5,896,3.63768,8,1-2 t-4 t^2-5 t^3-6 t^4-5 t^5-4 t^6-2 t^7+t^8
5,898,3.63965,10,1-3 t-3 t^2+2 t^3+2 t^4-2 t^5+2 t^6+2 t^7-3 t^8-3 t^9+t^10
5,899,3.64161,10,1-3 t-t^2-3 t^3-6 t^4-t^5-6 t^6-3 t^7-t^8-3 t^9+t^10
5,902,3.6442,10,1-4 t+t^2+t^3+t^5+t^7+t^8-4 t^9+t^10
5,913,3.65212,10,1-5 t+6 t^2-4 t^3-t^4+5 t^5-t^6-4 t^7+6 t^8-5 t^9+t^10
5,919,3.65846,8,1-3 t-t^2-4 t^3-3 t^4-4 t^5-t^6-3 t^7+t^8
5,921,3.66159,8,1-2 t-4 t^2-6 t^3-4 t^4-6 t^5-4 t^6-2 t^7+t^8
5,927,3.66729,8,1-t-6 t^2-10 t^3-11 t^4-10 t^5-6 t^6-t^7+t^8
5,934,3.67107,10,1-3 t-2 t^2-3 t^3+4 t^4+2 t^5+4 t^6-3 t^7-2 t^8-3 t^9+t^10
5,938,3.67357,10,1-3 t-t^2-4 t^3-4 t^4-3 t^5-4 t^6-4 t^7-t^8-3 t^9+t^10
5,940,3.67541,8,1-5 t+5 t^2+t^3-6 t^4+t^5+5 t^6-5 t^7+t^8
5,948,3.68468,10,1-2 t-5 t^2-5 t^3+t^4+4 t^5+t^6-5 t^7-5 t^8-2 t^9+t^10
5,949,3.68493,8,1-3 t-2 t^2-2 t^3+t^4-2 t^5-2 t^6-3 t^7+t^8
5,953,3.68821,6,1-2 t-4 t^2-7 t^3-4 t^4-2 t^5+t^6
5,956,3.69081,8,1-4 t+t^2+2 t^3-6 t^4+2 t^5+t^6-4 t^7+t^8
5,958,3.69235,8,1-4 t+2 t^2-4 t^3+4 t^4-4 t^5+2 t^6-4 t^7+t^8
5,960,3.69524,8,1-2 t-5 t^2-4 t^3-t^4-4 t^5-5 t^6-2 t^7+t^8
5,963,3.69608,8,1-6 t+11 t^2-11 t^3+9 t^4-11 t^5+11 t^6-6 t^7+t^8
5,969,3.70146,8,1-3 t-2 t^2-t^3-4 t^4-t^5-2 t^6-3 t^7+t^8
5,970,3.70312,8,1-3 t-t^2-5 t^3-2 t^4-5 t^5-t^6-3 t^7+t^8
5,971,3.70319,10,1-6 t+11 t^2-11 t^3+8 t^4-7 t^5+8 t^6-11 t^7+11 t^8-6 t^9+t^10
5,974,3.70762,8,1-5 t+7 t^2-10 t^3+9 t^4-10 t^5+7 t^6-5 t^7+t^8
5,980,3.71138,8,1-4 t+t^2+t^3-3 t^4+t^5+t^6-4 t^7+t^8
5,982,3.71287,8,1-4 t+2 t^2-3 t^3-t^4-3 t^5+2 t^6-4 t^7+t^8
5,983,3.71385,8,1-4 t+3 t^2-8 t^3+5 t^4-8 t^5+3 t^6-4 t^7+t^8
5,987,3.71526,8,1-3 t-3 t^2+5 t^4-3 t^6-3 t^7+t^8
5,988,3.71552,8,1-3 t-3 t^2+t^3+t^4+t^5-3 t^6-3 t^7+t^8
5,992,3.71911,8,1-2 t-6 t^2-2 t^3+3 t^4-2 t^5-6 t^6-2 t^7+t^8
