s0_level,global_index,value,degree,minimal_polynomial
4,170,2.563655743,8, 1 - t - 2*t^2 - 3*t^3 - 4*t^4 - 3*t^5 - 2*t^6 - t^7 + t^8
4,188,2.627682223,10, 1 - t - 2*t^2 - 3*t^3 - 5*t^4 - 5*t^5 - 5*t^6 - 3*t^7 - 2*t^8 - t^9 + t^10
4,190,2.633321014,10, 1 - 2*t - t^2 - t^3 - 2*t^4 + t^5 - 2*t^6 - t^7 - t^8 - 2*t^9 + t^10
4,198,2.653454657,8, 1 - 2*t - 4*t^3 - 4*t^5 - 2*t^7 + t^8
4,203,2.669076503,8, 1 - t - 2*t^2 - 4*t^3 - 5*t^4 - 4*t^5 - 2*t^6 - t^7 + t^8
4,205,2.673069346,8, 1 - 3*t + 2*t^2 - 4*t^3 + 4*t^4 - 4*t^5 + 2*t^6 - 3*t^7 + t^8
4,208,2.68163054,8, 1 - 3*t + t^2 - t^3 + 2*t^4 - t^5 + t^6 - 3*t^7 + t^8
4,210,2.686764481,8, 1 - 2*t - 4*t^3 - t^4 - 4*t^5 - 2*t^7 + t^8
4,213,2.695439417,8, 1 - 2*t - t^2 - 2*t^3 - 2*t^5 - t^6 - 2*t^7 + t^8
4,215,2.701651631,8, 1 - t - 3*t^2 - 3*t^3 - 2*t^4 - 3*t^5 - 3*t^6 - t^7 + t^8
4,217,2.706453498,8, 1 - 2*t - 2*t^2 + t^4 - 2*t^6 - 2*t^7 + t^8
4,220,2.713365839,10, 1 - 2*t - 2*t^2 + t^3 - t^4 - 3*t^5 - t^6 + t^7 - 2*t^8 - 2*t^9 + t^10
4,221,2.714543142,10, 1 - 3*t + t^2 - t^3 + 3*t^5 - t^7 + t^8 - 3*t^9 + t^10
4,222,2.716223767,10, 1 - t - 3*t^2 - 4*t^3 - t^4 - t^6 - 4*t^7 - 3*t^8 - t^9 + t^10
4,224,2.72229333,8, 1 - 3*t + 2*t^2 - 4*t^3 + 3*t^4 - 4*t^5 + 2*t^6 - 3*t^7 + t^8
4,226,2.726383271,10, 1 - 2*t - 2*t^2 - t^3 + t^4 + 5*t^5 + t^6 - t^7 - 2*t^8 - 2*t^9 + t^10
4,229,2.7302389,8, 1 - 2*t - t^2 - 2*t^3 - t^4 - 2*t^5 - t^6 - 2*t^7 + t^8
4,230,2.731808986,8, 1 - 3*t + t^2 - 2*t^4 + t^6 - 3*t^7 + t^8
4,231,2.734934798,10, 1 - 2*t - 3*t^2 + 2*t^3 + 2*t^4 - t^5 + 2*t^6 + 2*t^7 - 3*t^8 - 2*t^9 + t^10
4,232,2.736926057,8, 1 - 3*t + t^2 - t^3 + t^4 - t^5 + t^6 - 3*t^7 + t^8
4,233,2.738876953,10, 1 - 3*t + t^2 - 2*t^3 + 4*t^4 - 3*t^5 + 4*t^6 - 2*t^7 + t^8 - 3*t^9 + t^10
4,235,2.740984996,8, 1 - t - 2*t^2 - 5*t^3 - 5*t^4 - 5*t^5 - 2*t^6 - t^7 + t^8
4,236,2.742460285,8, 1 - 3*t + t^2 - 2*t^3 + 4*t^4 - 2*t^5 + t^6 - 3*t^7 + t^8
4,237,2.745195522,8, 1 - 2*t - 2*t^2 - 2*t^6 - 2*t^7 + t^8
4,240,2.75284354,10, 1 - t - 4*t^2 - 3*t^3 + t^4 + 3*t^5 + t^6 - 3*t^7 - 4*t^8 - t^9 + t^10
4,242,2.757242879,10, 1 - 3*t^2 - 7*t^3 - 10*t^4 - 11*t^5 - 10*t^6 - 7*t^7 - 3*t^8 + t^10
4,243,2.762953943,6, 1 - t - 3*t^2 - 4*t^3 - 3*t^4 - t^5 + t^6
4,245,2.769586961,8, 1 - 2*t - 3*t^2 + t^3 + 4*t^4 + t^5 - 3*t^6 - 2*t^7 + t^8
4,246,2.772224096,10, 1 - 3*t + 2*t^3 - t^4 + t^5 - t^6 + 2*t^7 - 3*t^9 + t^10
4,247,2.775286216,10, 1 - t - 3*t^2 - 3*t^3 - 4*t^4 - 5*t^5 - 4*t^6 - 3*t^7 - 3*t^8 - t^9 + t^10
4,248,2.775481341,8, 1 - 4*t + 5*t^2 - 6*t^3 + 6*t^4 - 6*t^5 + 5*t^6 - 4*t^7 + t^8
4,249,2.777204236,10, 1 - 2*t - 2*t^2 - 2*t^3 + 3*t^4 + 3*t^5 + 3*t^6 - 2*t^7 - 2*t^8 - 2*t^9 + t^10
4,251,2.780471427,8, 1 - 2*t - 5*t^3 - t^4 - 5*t^5 - 2*t^7 + t^8
4,252,2.781171335,8, 1 - 2*t - 2*t^2 - t^4 - 2*t^6 - 2*t^7 + t^8
4,253,2.784768097,8, 1 - 4*t + 5*t^2 - 7*t^3 + 9*t^4 - 7*t^5 + 5*t^6 - 4*t^7 + t^8
4,256,2.789329208,10, 1 - 3*t - t^2 + 5*t^3 - 5*t^5 + 5*t^7 - t^8 - 3*t^9 + t^10
4,257,2.789965093,10, 1 - 4*t + 4*t^2 - 2*t^3 + t^4 - t^5 + t^6 - 2*t^7 + 4*t^8 - 4*t^9 + t^10
4,258,2.793209542,8, 1 - 3*t + t^2 - 2*t^3 + 3*t^4 - 2*t^5 + t^6 - 3*t^7 + t^8
4,259,2.793866505,8, 1 - 2*t - t^2 - 2*t^3 - 3*t^4 - 2*t^5 - t^6 - 2*t^7 + t^8
4,260,2.796633767,8, 1 - 4*t + 4*t^2 - 2*t^3 + t^4 - 2*t^5 + 4*t^6 - 4*t^7 + t^8
4,261,2.798537608,8, 1 - 2*t - t^2 - 3*t^3 - 3*t^5 - t^6 - 2*t^7 + t^8
4,262,2.800774506,10, 1 - 3*t + 2*t^2 - 4*t^3 + t^4 - 3*t^5 + t^6 - 4*t^7 + 2*t^8 - 3*t^9 + t^10
4,263,2.801058075,8, 1 - t - 3*t^2 - 4*t^3 - 3*t^4 - 4*t^5 - 3*t^6 - t^7 + t^8
